"","id","firstname","surname","year","category","affiliation","city","country","born_date","died_date","gender","born_city","born_country","born_country_code","died_city","died_country","died_country_code","overall_motivation","share","motivation","born_country_original","born_city_original","died_country_original","died_city_original","city_original","country_original"
"86",86,"Richard P.","Feynman",1965,"Physics","California Institute of Technology (Caltech)","Pasadena CA","USA",1918-05-11,1988-02-15,"male","New York NY","USA","US","Los Angeles CA","USA","US",NA,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""","USA","New York NY","USA","Los Angeles CA","Pasadena CA","USA"
"87",87,"Alfred","Kastler",1966,"Physics","Ecole Normale Superieure","Paris","France",1902-05-03,1984-01-07,"male","Guebwiller","France","FR","Bandol","France","FR",NA,1,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""","Germany (now France)","Guebwiller","France","Bandol","Paris","France"
"88",88,"Hans","Bethe",1967,"Physics","Cornell University","Ithaca NY","USA",1906-07-02,2005-03-06,"male","Strasbourg","France","FR","Ithaca NY","USA","US",NA,1,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""","Germany (now France)","Strasbourg","USA","Ithaca NY","Ithaca NY","USA"
"89",89,"Luis","Alvarez",1968,"Physics","University of California","Berkeley CA","USA",1911-06-13,1988-09-01,"male","San Francisco CA","USA","US","Berkeley CA","USA","US",NA,1,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""","USA","San Francisco CA","USA","Berkeley CA","Berkeley CA","USA"
"90",90,"Murray","Gell-Mann",1969,"Physics","California Institute of Technology (Caltech)","Pasadena CA","USA",1929-09-15,2019-05-24,"male","New York NY","USA","US","Santa Fe NM","USA","US",NA,1,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""","USA","New York NY","USA","Santa Fe NM","Pasadena CA","USA"
"91",91,"Hannes","Alfven",1970,"Physics","Royal Institute of Technology","Stockholm","Sweden",1908-05-30,1995-04-02,"male","Norrkoping","Sweden","SE","Djursholm","Sweden","SE",NA,2,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""","Sweden","Norrkoping","Sweden","Djursholm","Stockholm","Sweden"
"92",92,"Louis","Neel",1970,"Physics","University of Grenoble","Grenoble","France",1904-11-22,2000-11-17,"male","Lyon","France","FR","Brive-Correze","France","FR",NA,2,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""","France","Lyon","France","Brive-Correze","Grenoble","France"
"93",93,"Dennis","Gabor",1971,"Physics","Imperial College","London","United Kingdom",1900-06-05,1979-02-08,"male","Budapest","Hungary","HU","London","United Kingdom","GB",NA,1,"""for his invention and development of the holographic method""","Hungary","Budapest","United Kingdom","London","London","United Kingdom"
"94",95,"Leon N.","Cooper",1972,"Physics","Brown University","Providence RI","USA",1930-02-28,NA,"male","New York NY","USA","US",NA,NA,NA,NA,3,"""for their jointly developed theory of superconductivity usually called the BCS-theory""","USA","New York NY",NA,NA,"Providence RI","USA"
"95",96,"Robert","Schrieffer",1972,"Physics","University of Pennsylvania","Philadelphia PA","USA",1931-05-31,2019-07-27,"male","Oak Park IL","USA","US","Tallahassee FL","USA","US",NA,3,"""for their jointly developed theory of superconductivity usually called the BCS-theory""","USA","Oak Park IL","USA","Tallahassee FL","Philadelphia PA","USA"
"96",97,"Leo","Esaki",1973,"Physics","IBM Thomas J. Watson Research Center","Yorktown Heights NY","USA",1925-03-12,NA,"male","Osaka","Japan","JP",NA,NA,NA,NA,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""","Japan","Osaka",NA,NA,"Yorktown Heights NY","USA"
"97",98,"Ivar","Giaever",1973,"Physics","General Electric Company","Schenectady NY","USA",1929-04-05,NA,"male","Bergen","Norway","NO",NA,NA,NA,NA,4,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""","Norway","Bergen",NA,NA,"Schenectady NY","USA"
"98",99,"Brian D.","Josephson",1973,"Physics","University of Cambridge","Cambridge","United Kingdom",1940-01-04,NA,"male","Cardiff","United Kingdom","GB",NA,NA,NA,NA,2,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""","United Kingdom","Cardiff",NA,NA,"Cambridge","United Kingdom"
"99",100,"Martin","Ryle",1974,"Physics","University of Cambridge","Cambridge","United Kingdom",1918-09-27,1984-10-14,"male","Brighton","United Kingdom","GB","Cambridge","United Kingdom","GB",NA,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""","United Kingdom","Brighton","United Kingdom","Cambridge","Cambridge","United Kingdom"
"100",101,"Antony","Hewish",1974,"Physics","University of Cambridge","Cambridge","United Kingdom",1924-05-11,NA,"male","Fowey","United Kingdom","GB",NA,NA,NA,NA,2,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""","United Kingdom","Fowey",NA,NA,"Cambridge","United Kingdom"
"101",102,"Aage N.","Bohr",1975,"Physics","Niels Bohr Institute","Copenhagen","Denmark",1922-06-19,2009-09-08,"male","Copenhagen","Denmark","DK","Copenhagen","Denmark","DK",NA,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","Denmark","Copenhagen","Denmark","Copenhagen","Copenhagen","Denmark"
"102",103,"Ben R.","Mottelson",1975,"Physics","Nordita","Copenhagen","Denmark",1926-07-09,NA,"male","Chicago IL","USA","US",NA,NA,NA,NA,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","USA","Chicago IL",NA,NA,"Copenhagen","Denmark"
"103",104,"James","Rainwater",1975,"Physics","Columbia University","New York NY","USA",1917-12-09,1986-03-31,"male","Council ID","USA","US","Yonkers NY","USA","US",NA,3,"""for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection""","USA","Council ID","USA","Yonkers NY","New York NY","USA"
"104",105,"Burton","Richter",1976,"Physics","Stanford Linear Accelerator Center","Stanford CA","USA",1931-03-22,2018-07-18,"male","Brooklyn NY","USA","US","Stanford CA","USA","US",NA,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""","USA","Brooklyn NY","USA","Stanford CA","Stanford CA","USA"
"105",106,"Samuel C.C.","Ting",1976,"Physics","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",1936-01-27,NA,"male","Ann Arbor MI","USA","US",NA,NA,NA,NA,2,"""for their pioneering work in the discovery of a heavy elementary particle of a new kind""","USA","Ann Arbor MI",NA,NA,"Cambridge MA","USA"
"106",107,"Philip W.","Anderson",1977,"Physics","Bell Telephone Laboratories","Murray Hill NJ","USA",1923-12-13,NA,"male","Indianapolis IN","USA","US",NA,NA,NA,NA,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","USA","Indianapolis IN",NA,NA,"Murray Hill NJ","USA"
"107",108,"Sir Nevill F.","Mott",1977,"Physics","University of Cambridge","Cambridge","United Kingdom",1905-09-30,1996-08-08,"male","Leeds","United Kingdom","GB","Milton Keynes","United Kingdom","GB",NA,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","United Kingdom","Leeds","United Kingdom","Milton Keynes","Cambridge","United Kingdom"
"108",109,"John H.","van Vleck",1977,"Physics","Harvard University","Cambridge MA","USA",1899-03-13,1980-10-27,"male","Middletown CT","USA","US","Cambridge MA","USA","US",NA,3,"""for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems""","USA","Middletown CT","USA","Cambridge MA","Cambridge MA","USA"
"109",110,"Pyotr","Kapitsa",1978,"Physics","Academy of Sciences","Moscow","Russia",1894-07-09,1984-04-08,"male","Kronshtadt","Russia","RU","Moscow","Russia","RU",NA,2,"""for his basic inventions and discoveries in the area of low-temperature physics""","Russian Empire (now Russia)","Kronshtadt","USSR (now Russia)","Moscow","Moscow","USSR (now Russia)"
"110",111,"Arno","Penzias",1978,"Physics","Bell Laboratories","Holmdel NJ","USA",1933-04-26,NA,"male","Munich","Germany","DE",NA,NA,NA,NA,4,"""for their discovery of cosmic microwave background radiation""","Germany","Munich",NA,NA,"Holmdel NJ","USA"
"111",112,"Robert Woodrow","Wilson",1978,"Physics","Bell Laboratories","Holmdel NJ","USA",1936-01-10,NA,"male","Houston TX","USA","US",NA,NA,NA,NA,4,"""for their discovery of cosmic microwave background radiation""","USA","Houston TX",NA,NA,"Holmdel NJ","USA"
"112",113,"Sheldon","Glashow",1979,"Physics","Harvard University Lyman Laboratory","Cambridge MA","USA",1932-12-05,NA,"male","New York NY","USA","US",NA,NA,NA,NA,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""","USA","New York NY",NA,NA,"Cambridge MA","USA"
"113",114,"Abdus","Salam",1979,"Physics","International Centre for Theoretical Physics","Trieste","Italy",1926-01-29,1996-11-21,"male","Jhang Maghi<U+0101>na","Pakistan","PK","Oxford","United Kingdom","GB",NA,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""","India (now Pakistan)","Jhang Maghi<U+0101>na","United Kingdom","Oxford","Trieste","Italy"
"114",115,"Steven","Weinberg",1979,"Physics","Harvard University","Cambridge MA","USA",1933-05-03,NA,"male","New York NY","USA","US",NA,NA,NA,NA,3,"""for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles including inter alia the prediction of the weak neutral current""","USA","New York NY",NA,NA,"Cambridge MA","USA"
"115",116,"James","Cronin",1980,"Physics","University of Chicago","Chicago IL","USA",1931-09-29,2016-08-25,"male","Chicago IL","USA","US","St. Paul MN","USA","US",NA,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""","USA","Chicago IL","USA","St. Paul MN","Chicago IL","USA"
"116",117,"Val","Fitch",1980,"Physics","Princeton University","Princeton NJ","USA",1923-03-10,2015-02-05,"male","Merriman NE","USA","US","Princeton NJ","USA","US",NA,2,"""for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons""","USA","Merriman NE","USA","Princeton NJ","Princeton NJ","USA"
"117",118,"Nicolaas","Bloembergen",1981,"Physics","Harvard University","Cambridge MA","USA",1920-03-11,2017-09-05,"male","Dordrecht","Netherlands","NL","Tucson AZ","USA","US",NA,4,"""for their contribution to the development of laser spectroscopy""","the Netherlands","Dordrecht","USA","Tucson AZ","Cambridge MA","USA"
"118",119,"Arthur L.","Schawlow",1981,"Physics","Stanford University","Stanford CA","USA",1921-05-05,1999-04-28,"male","Mount Verno NY","USA","US","Palo Alto CA","USA","US",NA,4,"""for their contribution to the development of laser spectroscopy""","USA","Mount Verno NY","USA","Palo Alto CA","Stanford CA","USA"
"119",120,"Kai M.","Siegbahn",1981,"Physics","Uppsala University","Uppsala","Sweden",1918-04-20,2007-07-20,"male","Lund","Sweden","SE","Angelholm","Sweden","SE",NA,2,"""for his contribution to the development of high-resolution electron spectroscopy""","Sweden","Lund","Sweden","Angelholm","Uppsala","Sweden"
"120",121,"Kenneth G.","Wilson",1982,"Physics","Cornell University","Ithaca NY","USA",1936-06-08,2013-06-15,"male","Waltham MA","USA","US","Saco ME","USA","US",NA,1,"""for his theory for critical phenomena in connection with phase transitions""","USA","Waltham MA","USA","Saco ME","Ithaca NY","USA"
"121",122,"Subramanyan","Chandrasekhar",1983,"Physics","University of Chicago","Chicago IL","USA",1910-10-19,1995-08-21,"male","Lahore","Pakistan","PK","Chicago IL","USA","US",NA,2,"""for his theoretical studies of the physical processes of importance to the structure and evolution of the stars""","India (now Pakistan)","Lahore","USA","Chicago IL","Chicago IL","USA"
"122",123,"William A.","Fowler",1983,"Physics","California Institute of Technology (Caltech)","Pasadena CA","USA",1911-08-09,1995-03-14,"male","Pittsburgh PA","USA","US","Pasadena CA","USA","US",NA,2,"""for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe""","USA","Pittsburgh PA","USA","Pasadena CA","Pasadena CA","USA"
"123",124,"Carlo","Rubbia",1984,"Physics","CERN","Geneva","Switzerland",1934-03-31,NA,"male","Gorizia","Italy","IT",NA,NA,NA,NA,2,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""","Italy","Gorizia",NA,NA,"Geneva","Switzerland"
"124",125,"Simon","van der Meer",1984,"Physics","CERN","Geneva","Switzerland",1925-11-24,2011-03-04,"male","the Hague","Netherlands","NL","Geneva","Switzerland","CH",NA,2,"""for their decisive contributions to the large project which led to the discovery of the field particles W and Z communicators of weak interaction""","the Netherlands","the Hague","Switzerland","Geneva","Geneva","Switzerland"
"125",126,"Klaus","von Klitzing",1985,"Physics","Max-Planck-Institut fur Festkorperforschung","Stuttgart","Germany",1943-06-28,NA,"male","Schroda","Poland","PL",NA,NA,NA,NA,1,"""for the discovery of the quantized Hall effect""","German-occupied Poland (now Poland)","Schroda",NA,NA,"Stuttgart","Germany"
"126",127,"Ernst","Ruska",1986,"Physics","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Berlin","Germany",1906-12-25,1988-05-27,"male","Heidelberg","Germany","DE","West Berlin","Germany","DE",NA,2,"""for his fundamental work in electron optics and for the design of the first electron microscope""","Germany","Heidelberg","Germany","West Berlin","Berlin","Germany"
"127",128,"Gerd","Binnig",1986,"Physics","IBM Zurich Research Laboratory","Ruschlikon","Switzerland",1947-07-20,NA,"male","Frankfurt-on-the-Main","Germany","DE",NA,NA,NA,NA,4,"""for their design of the scanning tunneling microscope""","West Germany (now Germany)","Frankfurt-on-the-Main",NA,NA,"Ruschlikon","Switzerland"
"128",129,"Heinrich","Rohrer",1986,"Physics","IBM Zurich Research Laboratory","Ruschlikon","Switzerland",1933-06-06,2013-05-16,"male","Buchs","Switzerland","CH","Wollerau","Switzerland","CH",NA,4,"""for their design of the scanning tunneling microscope""","Switzerland","Buchs","Switzerland","Wollerau","Ruschlikon","Switzerland"
"129",130,"J. Georg","Bednorz",1987,"Physics","IBM Zurich Research Laboratory","Ruschlikon","Switzerland",1950-05-16,NA,"male","Neuenkirchen","Germany","DE",NA,NA,NA,NA,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""","West Germany (now Germany)","Neuenkirchen",NA,NA,"Ruschlikon","Switzerland"
"130",131,"K. Alex","Muller",1987,"Physics","IBM Zurich Research Laboratory","Ruschlikon","Switzerland",1927-04-20,NA,"male","Basel","Switzerland","CH",NA,NA,NA,NA,2,"""for their important break-through in the discovery of superconductivity in ceramic materials""","Switzerland","Basel",NA,NA,"Ruschlikon","Switzerland"
"131",132,"Leon M.","Lederman",1988,"Physics","Fermi National Accelerator Laboratory","Batavia IL","USA",1922-07-15,2018-10-03,"male","New York NY","USA","US","Rexburg ID","USA","US",NA,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","USA","New York NY","USA","Rexburg ID","Batavia IL","USA"
"132",133,"Melvin","Schwartz",1988,"Physics","Digital Pathways Inc.","Mountain View CA","USA",1932-11-02,2006-08-28,"male","New York NY","USA","US","Twin Falls ID","USA","US",NA,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","USA","New York NY","USA","Twin Falls ID","Mountain View CA","USA"
"133",134,"Jack","Steinberger",1988,"Physics","CERN","Geneva","Switzerland",1921-05-25,NA,"male","Bad Kissingen","Germany","DE",NA,NA,NA,NA,3,"""for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino""","Germany","Bad Kissingen",NA,NA,"Geneva","Switzerland"
"134",135,"Norman F.","Ramsey",1989,"Physics","Harvard University","Cambridge MA","USA",1915-08-27,2011-11-04,"male","Washington DC","USA","US","Wayland MA","USA","US",NA,2,"""for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks""","USA","Washington DC","USA","Wayland MA","Cambridge MA","USA"
"135",136,"Hans G.","Dehmelt",1989,"Physics","University of Washington","Seattle WA","USA",1922-09-09,2017-03-07,"male","Gorlitz","Germany","DE","Seattle WA","USA","US",NA,4,"""for the development of the ion trap technique""","Prussia (now Germany)","Gorlitz","USA","Seattle WA","Seattle WA","USA"
"136",137,"Wolfgang","Paul",1989,"Physics","University of Bonn","Bonn","Germany",1913-08-10,1993-12-07,"male","Lorenzkirch","Germany","DE","Bonn","Germany","DE",NA,4,"""for the development of the ion trap technique""","Germany","Lorenzkirch","Germany","Bonn","Bonn","Germany"
"137",138,"Jerome I.","Friedman",1990,"Physics","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",1930-03-28,NA,"male","Chicago IL","USA","US",NA,NA,NA,NA,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""","USA","Chicago IL",NA,NA,"Cambridge MA","USA"
"138",139,"Henry W.","Kendall",1990,"Physics","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",1926-12-09,1999-02-15,"male","Boston MA","USA","US","Wakulla Springs State Park FL","USA","US",NA,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""","USA","Boston MA","USA","Wakulla Springs State Park FL","Cambridge MA","USA"
"139",140,"Richard E.","Taylor",1990,"Physics","Stanford University","Stanford CA","USA",1929-11-02,2018-02-22,"male","Medicine Hat Alberta","Canada","CA","Stanford CA","USA","US",NA,3,"""for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons which have been of essential importance for the development of the quark model in particle physics""","Canada","Medicine Hat Alberta","USA","Stanford CA","Stanford CA","USA"
"140",141,"Pierre-Gilles","de Gennes",1991,"Physics","College de France","Paris","France",1932-10-24,2007-05-18,"male","Paris","France","FR","Orsay","France","FR",NA,1,"""for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter in particular to liquid crystals and polymers""","France","Paris","France","Orsay","Paris","France"
"141",142,"Georges","Charpak",1992,"Physics","Ecole Superieure de Physique et Chimie","Paris","France",1924-08-01,2010-09-29,"male","Dabrovica","Poland","PL","Paris","France","FR",NA,1,"""for his invention and development of particle detectors in particular the multiwire proportional chamber""","Poland","Dabrovica","France","Paris","Paris","France"
"142",143,"Russell A.","Hulse",1993,"Physics","Princeton University","Princeton NJ","USA",1950-11-28,NA,"male","New York NY","USA","US",NA,NA,NA,NA,2,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""","USA","New York NY",NA,NA,"Princeton NJ","USA"
"143",144,"Joseph H.","Taylor Jr.",1993,"Physics","Princeton University","Princeton NJ","USA",1941-03-29,NA,"male","Philadelphia PA","USA","US",NA,NA,NA,NA,2,"""for the discovery of a new type of pulsar a discovery that has opened up new possibilities for the study of gravitation""","USA","Philadelphia PA",NA,NA,"Princeton NJ","USA"
"144",145,"Bertram N.","Brockhouse",1994,"Physics","McMaster University","Hamilton Ontario","Canada",1918-07-15,2003-10-13,"male","Lethbridge Alberta","Canada","CA","Hamilton Ontario","Canada","CA","""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",2,"""for the development of neutron spectroscopy""","Canada","Lethbridge Alberta","Canada","Hamilton Ontario","Hamilton Ontario","Canada"
"145",146,"Clifford G.","Shull",1994,"Physics","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",1915-09-23,2001-03-31,"male","Pittsburgh PA","USA","US","Medford MA","USA","US","""for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter""",2,"""for the development of the neutron diffraction technique""","USA","Pittsburgh PA","USA","Medford MA","Cambridge MA","USA"
"146",147,"Martin L.","Perl",1995,"Physics","Stanford University","Stanford CA","USA",1927-06-24,2014-09-30,"male","New York NY","USA","US","Palo Alto CA","USA","US","""for pioneering experimental contributions to lepton physics""",2,"""for the discovery of the tau lepton""","USA","New York NY","USA","Palo Alto CA","Stanford CA","USA"
"147",148,"Frederick","Reines",1995,"Physics","University of California","Irvine CA","USA",1918-03-16,1998-08-26,"male","Paterson NJ","USA","US","Orange CA","USA","US","""for pioneering experimental contributions to lepton physics""",2,"""for the detection of the neutrino""","USA","Paterson NJ","USA","Orange CA","Irvine CA","USA"
"148",149,"David M.","Lee",1996,"Physics","Cornell University","Ithaca NY","USA",1931-01-20,NA,"male","Rye NY","USA","US",NA,NA,NA,NA,3,"""for their discovery of superfluidity in helium-3""","USA","Rye NY",NA,NA,"Ithaca NY","USA"
"149",150,"Douglas D.","Osheroff",1996,"Physics","Stanford University","Stanford CA","USA",1945-08-01,NA,"male","Aberdeen WA","USA","US",NA,NA,NA,NA,3,"""for their discovery of superfluidity in helium-3""","USA","Aberdeen WA",NA,NA,"Stanford CA","USA"
"150",151,"Robert C.","Richardson",1996,"Physics","Cornell University","Ithaca NY","USA",1937-06-26,2013-02-19,"male","Washington DC","USA","US","Ithaca NY","USA","US",NA,3,"""for their discovery of superfluidity in helium-3""","USA","Washington DC","USA","Ithaca NY","Ithaca NY","USA"
"151",152,"Steven","Chu",1997,"Physics","Stanford University","Stanford CA","USA",1948-02-28,NA,"male","St. Louis MO","USA","US",NA,NA,NA,NA,3,"""for development of methods to cool and trap atoms with laser light""","USA","St. Louis MO",NA,NA,"Stanford CA","USA"
"152",153,"Claude","Cohen-Tannoudji",1997,"Physics","College de France","Paris","France",1933-04-01,NA,"male","Constantine","Algeria","DZ",NA,NA,NA,NA,3,"""for development of methods to cool and trap atoms with laser light""","French Algeria (now Algeria)","Constantine",NA,NA,"Paris","France"
"153",154,"William D.","Phillips",1997,"Physics","National Institute of Standards and Technology","Gaithersburg MD","USA",1948-11-05,NA,"male","Wilkes-Barre PA","USA","US",NA,NA,NA,NA,3,"""for development of methods to cool and trap atoms with laser light""","USA","Wilkes-Barre PA",NA,NA,"Gaithersburg MD","USA"
"154",155,"Robert B.","Laughlin",1998,"Physics","Stanford University","Stanford CA","USA",1950-11-01,NA,"male","Visalia CA","USA","US",NA,NA,NA,NA,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""","USA","Visalia CA",NA,NA,"Stanford CA","USA"
"155",156,"Horst L.","Stormer",1998,"Physics","Columbia University","New York NY","USA",1949-04-06,NA,"male","Frankfurt-on-the-Main","Germany","DE",NA,NA,NA,NA,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""","West Germany (now Germany)","Frankfurt-on-the-Main",NA,NA,"New York NY","USA"
"156",157,"Daniel C.","Tsui",1998,"Physics","Princeton University","Princeton NJ","USA",1939-02-28,NA,"male","Henan","China","CN",NA,NA,NA,NA,3,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""","China","Henan",NA,NA,"Princeton NJ","USA"
"157",158,"Gerardus","'t Hooft",1999,"Physics","Utrecht University","Utrecht","Netherlands",1946-07-05,NA,"male","Den Helder","Netherlands","NL",NA,NA,NA,NA,2,"""for elucidating the quantum structure of electroweak interactions in physics""","the Netherlands","Den Helder",NA,NA,"Utrecht","the Netherlands"
"158",159,"Martinus J.G.","Veltman",1999,"Physics",NA,NA,NA,1931-06-27,NA,"male","Waalwijk","Netherlands","NL",NA,NA,NA,NA,2,"""for elucidating the quantum structure of electroweak interactions in physics""","the Netherlands","Waalwijk",NA,NA,NA,NA
"159",217,"Linus","Pauling",1962,"Peace","California Institute of Technology (Caltech)","Pasadena CA","USA",1901-02-28,1994-08-19,"male","Portland OR","USA","US","Big Sur CA","USA","US",NA,1,"""for his fight against the nuclear arms race between East and West""","USA","Portland OR","USA","Big Sur CA","Pasadena CA","USA"
"160",462,"Henry","Dunant",1901,"Peace",NA,NA,NA,1828-05-08,1910-10-30,"male","Geneva","Switzerland","CH","Heiden","Switzerland","CH",NA,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""","Switzerland","Geneva","Switzerland","Heiden",NA,NA
"161",463,"Frederic","Passy",1901,"Peace",NA,NA,NA,1822-05-20,1912-06-12,"male","Paris","France","FR","Paris","France","FR",NA,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""","France","Paris","France","Paris",NA,NA
"162",464,"Elie","Ducommun",1902,"Peace",NA,NA,NA,1833-02-19,1906-12-07,"male","Geneva","Switzerland","CH","Bern","Switzerland","CH",NA,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""","Switzerland","Geneva","Switzerland","Bern",NA,NA
"163",465,"Albert","Gobat",1902,"Peace",NA,NA,NA,1843-05-21,1914-03-16,"male","Tramelan","Switzerland","CH","Bern","Switzerland","CH",NA,2,"""for his eminently practical administration of the Inter-Parliamentary Union""","Switzerland","Tramelan","Switzerland","Bern",NA,NA
"164",466,"Randal","Cremer",1903,"Peace",NA,NA,NA,1828-03-18,1908-07-22,"male","Fareham","United Kingdom","GB","London","United Kingdom","GB",NA,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""","United Kingdom","Fareham","United Kingdom","London",NA,NA
"165",467,"Institute of International Law",NA,1904,"Peace",NA,NA,NA,NA,NA,"org",NA,NA,NA,NA,NA,NA,NA,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",NA,NA,NA,NA,NA,NA
"166",468,"Bertha","von Suttner",1905,"Peace",NA,NA,NA,1843-06-09,1914-06-21,"female","Prague","Czech Republic","CZ","Vienna","Austria","AT",NA,1,"""for her audacity to oppose the horrors of war""","Austrian Empire (now Czech Republic)","Prague","Austria","Vienna",NA,NA
"167",470,"Theodore","Roosevelt",1906,"Peace",NA,NA,NA,1858-10-27,1919-01-06,"male","New York NY","USA","US","Oyster Bay NY","USA","US",NA,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""","USA","New York NY","USA","Oyster Bay NY",NA,NA
"168",471,"Ernesto Teodoro","Moneta",1907,"Peace",NA,NA,NA,1833-09-20,1918-02-10,"male","Milan","Italy","IT","Milan","Italy","IT",NA,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""","Austrian Empire (now Italy)","Milan","Italy","Milan",NA,NA
"169",472,"Louis","Renault",1907,"Peace","Sorbonne University","Paris","France",1843-05-21,1918-02-08,"male","Autun","France","FR","Barbizon","France","FR",NA,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""","France","Autun","France","Barbizon","Paris","France"
"170",473,"Klas Pontus","Arnoldson",1908,"Peace",NA,NA,NA,1844-10-27,1916-02-20,"male","Gothenburg","Sweden","SE","Stockholm","Sweden","SE",NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""","Sweden","Gothenburg","Sweden","Stockholm",NA,NA
"171",474,"Fredrik","Bajer",1908,"Peace",NA,NA,NA,1837-04-21,1922-01-22,"male","N©¡stved","Denmark","DK","Copenhagen","Denmark","DK",NA,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""","Denmark","N©¡stved","Denmark","Copenhagen",NA,NA
"172",475,"Auguste","Beernaert",1909,"Peace",NA,NA,NA,1829-07-26,1912-10-06,"male","Ostend","Belgium","BE","Lucerne","Switzerland","CH",NA,2,"""for their prominent position in the international movement for peace and arbitration""","Belgium","Ostend","Switzerland","Lucerne",NA,NA
"173",476,"Paul Henri","d'Estournelles de Constant",1909,"Peace",NA,NA,NA,1852-11-22,1924-05-15,"male","La Fleche","France","FR","Paris","France","FR",NA,2,"""for their prominent position in the international movement for peace and arbitration""","France","La Fleche","France","Paris",NA,NA
"174",477,"Permanent International Peace Bureau",NA,1910,"Peace",NA,NA,NA,NA,NA,"org",NA,NA,NA,NA,NA,NA,NA,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",NA,NA,NA,NA,NA,NA
